director,popularity,stars,title,writers,year
Frank Darabont,,"Tom Hanks,Michael Clarke Duncan,David Morse,See full cast & crew","The Green Mile ,            ","Stephen King,Frank Darabont",1999
Hayao Miyazaki,,"Daveigh Chase,Suzanne Pleshette,Miyu Irino,See full cast & crew","Spirited Away ,            ",Hayao Miyazaki,2001
Frank Capra,,"James Stewart,Donna Reed,Lionel Barrymore,See full cast & crew","It's a Wonderful Life ,            ","Frances Goodrich,Albert Hackett,3 more credits",1946
Bong Joon Ho,,"Kang-ho Song,Sun-kyun Lee,Yeo-jeong Jo,See full cast & crew","Parasite ,            ","Bong Joon Ho,Bong Joon Ho,1 more credit",2019
Jonathan Demme,,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,See full cast & crew","The Silence of the Lambs ,            ","Thomas Harris,Ted Tally",1991
"Fernando Meirelles,Kátia Lund",,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,See full cast & crew","City of God ,            ","Paulo Lins,Bráulio Mantovani",2002
Roberto Benigni,,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,See full cast & crew","Life Is Beautiful ,            ","Vincenzo Cerami,Roberto Benigni",1997
Martin Scorsese,,"Robert De Niro,Ray Liotta,Joe Pesci,See full cast & crew","Goodfellas ,            ","Nicholas Pileggi,Nicholas Pileggi,1 more credit",1990
David Fincher,,"Morgan Freeman,Brad Pitt,Kevin Spacey,See full cast & crew","Se7en ,            ",Andrew Kevin Walker,1995
Milos Forman,,"Jack Nicholson,Louise Fletcher,Will Sampson,See full cast & crew","One Flew Over the Cuckoo's Nest ,            ","Lawrence Hauben,Bo Goldman,2 more credits",1975
Akira Kurosawa,,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima,See full cast & crew","Seven Samurai ,            ","Akira Kurosawa,Shinobu Hashimoto,1 more credit",1954
